date,region,district,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,month,year,pct_change,zscore,is_spike,spike_severity
2023-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,1500.0,1.44,3,2023,100.0,1.7585819842437123,True,Moderate
2024-09-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,4000.0,2.32,9,2024,33.33333333333333,2.1883538807046357,True,Moderate
2025-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,5229.17,3.04,2,2025,30.729249999999997,2.191852406730208,True,Moderate
2024-09-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Cowpeas,218,KG,aggregate,Retail,MWK,3000.0,1.74,9,2024,361.5384615384615,2.265835772111012,True,Severe
2026-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Exotic vegetables,1335,KG,aggregate,Retail,MWK,1340.0,0.77,1,2026,155.2380952380952,1.7516321825181491,True,Moderate
2025-09-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Groundnuts (shelled),119,KG,aggregate,Retail,MWK,7500.0,4.33,9,2025,25.0,1.7744885245640567,True,Moderate
2022-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,200.0,0.25,1,2022,25.0,2.105726949403052,True,Moderate
2022-08-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,300.0,0.3,8,2022,50.0,2.891760104303922,True,Severe
2025-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,923.53,0.54,4,2025,176.50598802395209,3.0414952667949304,True,Critical
2025-09-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,1469.57,0.85,9,2025,58.48350534364317,2.387827926654567,True,Severe
2023-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Maize (new harvest),1229,KG,aggregate,Retail,MWK,650.0,0.63,3,2023,333.3333333333333,2.255949962233647,True,Severe
2025-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Maize (new harvest),1229,KG,aggregate,Retail,MWK,1387.5,0.81,2,2025,61.337209302325576,2.6056943387319627,True,Critical
2025-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,oil and fats,Oil (vegetable),96,L,aggregate,Retail,MWK,8562.5,4.99,4,2025,558.6538461538462,2.2666430980119094,True,Severe
2023-09-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Pigeon peas,155,KG,aggregate,Retail,MWK,1100.0,1.0,9,2023,69.23076923076923,2.777255977541147,True,Critical
2023-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Pigeon peas,155,KG,aggregate,Retail,MWK,1550.0,0.93,11,2023,37.77777777777778,2.4659916333878806,True,Moderate
2025-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Pigeon peas,155,KG,aggregate,Retail,MWK,3000.0,1.74,2,2025,87.5,2.392224457994117,True,Severe
2025-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Rice,52,KG,aggregate,Retail,MWK,4850.0,2.82,4,2025,646.1538461538462,2.473713119794723,True,Severe
2025-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,miscellaneous food,Sugar,97,KG,aggregate,Retail,MWK,3645.83,2.12,4,2025,328.92117647058825,2.267786838055363,True,Severe
2025-06-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,miscellaneous food,Sugar,97,KG,aggregate,Retail,MWK,5456.52,3.15,6,2025,32.15016601962206,1.8576050860801177,True,Moderate
2025-09-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Sweet potatoes,87,KG,aggregate,Retail,MWK,1111.0,0.64,9,2025,59.98502390415297,1.557682326448021,True,Moderate
2023-12-15,Southern Region,Balaka,Mbela,2234,-14.91,35.06,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,2300.0,1.38,12,2023,37.31343283582089,1.8801490624073152,True,Moderate
