NAME_1,market_count,avg_spike_rate,risk_score
Machinga,8,9.8775,436
Mulanje,5,10.904,277
Zomba,5,8.646,262
Nsanje,6,8.935,252
Chikwawa,5,11.226,217
Dowa,7,6.882857142857143,199
Ntcheu,5,7.959999999999999,185
Blantyre,4,6.5975,181
Ntchisi,5,8.45,175
Phalombe,5,8.364,167
Thyolo,5,10.712,156
Mzimba,7,5.418571428571428,126
Balaka,5,7.954000000000001,126
Mangochi,7,5.875714285714286,119
Mchinji,3,8.056666666666667,108
Karonga,2,10.805,104
Rumphi,2,11.184999999999999,92
Kasungu,3,6.626666666666668,89
Chitipa,3,7.713333333333334,87
Salima,3,5.77,87
Lilongwe,5,5.358,84
Dedza,4,6.237500000000001,78
Nkhata Bay,3,7.293333333333333,59
Neno,1,9.73,53
Mwanza,1,9.51,48
Nkhotakota,3,3.966666666666667,43
Chiradzulu,1,4.31,14
