date,region,district,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,month,year
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,50.0,0.067,11,2020
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,50.0,0.067,12,2020
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,50.0,0.065,1,2021
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,50.0,0.066,2,2021
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,50.0,0.065,3,2021
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,50.0,0.064,4,2021
2025-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,300.0,0.17,4,2025
2025-05-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,264.71,0.15,5,2025
2025-06-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,200.0,0.12,6,2025
2020-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,actual,Retail,MWK,720.0,0.99,4,2020
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,900.0,1.2,11,2020
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,923.53,1.23,12,2020
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,1123.53,1.47,1,2021
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,1300.0,1.71,2,2021
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,1000.0,1.29,3,2021
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,750.0,0.97,4,2021
2023-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,1500.0,1.44,3,2023
2023-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,1400.0,1.38,4,2023
2023-05-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,1455.0,1.43,5,2023
2023-06-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,1671.88,1.64,6,2023
2023-07-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,1594.44,1.54,7,2023
2023-08-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,1600.0,1.49,8,2023
2023-09-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,1800.0,1.64,9,2023
2023-10-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,2000.0,1.74,10,2023
2023-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,2200.0,1.32,11,2023
2023-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,2200.0,1.32,12,2023
2024-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,2594.12,1.56,1,2024
