date,region,district,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,month,year,price_pct_change
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,50.0,0.067,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,50.0,0.067,12,2020,0.0
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,50.0,0.065,1,2021,0.0
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,50.0,0.066,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,50.0,0.065,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,50.0,0.064,4,2021,0.0
2025-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,300.0,0.17,4,2025,500.0
2025-05-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,264.71,0.15,5,2025,-11.763333333333337
2025-06-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,200.0,0.12,6,2025,-24.445619734804126
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Beans leaves,1235,Heap,aggregate,Retail,MWK,50.0,0.067,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Beans leaves,1235,Heap,aggregate,Retail,MWK,50.0,0.067,12,2020,0.0
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Beans leaves,1235,Heap,aggregate,Retail,MWK,50.0,0.065,1,2021,0.0
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Beans leaves,1235,Heap,aggregate,Retail,MWK,50.0,0.066,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Beans leaves,1235,Heap,aggregate,Retail,MWK,50.0,0.065,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Beans leaves,1235,Heap,aggregate,Retail,MWK,50.0,0.064,4,2021,0.0
2025-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Beans leaves,1235,Heap,aggregate,Retail,MWK,300.0,0.17,4,2025,500.0
2025-05-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Beans leaves,1235,Heap,aggregate,Retail,MWK,300.0,0.17,5,2025,0.0
2025-06-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Beans leaves,1235,Heap,aggregate,Retail,MWK,300.0,0.17,6,2025,0.0
2025-07-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Beans leaves,1235,Heap,aggregate,Retail,MWK,400.0,0.23,7,2025,33.33333333333333
2025-08-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Beans leaves,1235,Heap,aggregate,Retail,MWK,300.0,0.17,8,2025,-25.0
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Blackjack leaves,1236,Heap,aggregate,Retail,MWK,50.0,0.067,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Blackjack leaves,1236,Heap,aggregate,Retail,MWK,50.0,0.067,12,2020,0.0
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Blackjack leaves,1236,Heap,aggregate,Retail,MWK,50.0,0.065,1,2021,0.0
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Blackjack leaves,1236,Heap,aggregate,Retail,MWK,50.0,0.066,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Blackjack leaves,1236,Heap,aggregate,Retail,MWK,50.0,0.065,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Blackjack leaves,1236,Heap,aggregate,Retail,MWK,50.0,0.064,4,2021,0.0
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cabbage (chinese),843,Bunch,aggregate,Retail,MWK,50.0,0.067,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cabbage (chinese),843,Bunch,aggregate,Retail,MWK,53.06,0.071,12,2020,6.120000000000014
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cabbage (chinese),843,Bunch,aggregate,Retail,MWK,63.0,0.083,1,2021,18.73350923482848
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cabbage (chinese),843,Bunch,aggregate,Retail,MWK,63.0,0.083,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cabbage (chinese),843,Bunch,aggregate,Retail,MWK,63.0,0.081,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cabbage (chinese),843,Bunch,aggregate,Retail,MWK,63.0,0.081,4,2021,0.0
2025-05-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cabbage (chinese),843,Bunch,aggregate,Retail,MWK,300.0,0.17,5,2025,376.1904761904762
2025-06-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cabbage (chinese),843,Bunch,aggregate,Retail,MWK,300.0,0.17,6,2025,0.0
2025-07-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cabbage (chinese),843,Bunch,aggregate,Retail,MWK,275.0,0.16,7,2025,-8.333333333333337
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cowpea leaves,898,Heap,aggregate,Retail,MWK,50.0,0.067,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cowpea leaves,898,Heap,aggregate,Retail,MWK,50.0,0.067,12,2020,0.0
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cowpea leaves,898,Heap,aggregate,Retail,MWK,50.0,0.065,1,2021,0.0
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cowpea leaves,898,Heap,aggregate,Retail,MWK,50.0,0.066,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cowpea leaves,898,Heap,aggregate,Retail,MWK,50.0,0.065,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cowpea leaves,898,Heap,aggregate,Retail,MWK,50.0,0.064,4,2021,0.0
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,100.0,0.13,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,100.0,0.13,12,2020,0.0
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,100.0,0.13,1,2021,0.0
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,100.0,0.13,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,100.0,0.13,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,100.0,0.13,4,2021,0.0
2025-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,450.0,0.26,4,2025,350.0
2025-05-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,426.47,0.25,5,2025,-5.228888888888883
2025-06-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,500.0,0.29,6,2025,17.241541022815188
2025-07-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,500.0,0.29,7,2025,0.0
2025-08-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,500.0,0.29,8,2025,0.0
