region,district,total_records,total_spikes,critical_count,severe_count,moderate_count,avg_price,avg_pct_change,worst_spike,spike_rate_pct,risk_score,risk_rank
Southern Region,Machinga,3118,307,25,79,203,2447.4596279666453,18.902563588236287,3500.0,9.85,436,1
Southern Region,Mulanje,1707,186,13,65,108,2326.261734036321,22.272551225355343,6930.0,10.9,277,2
Southern Region,Zomba,1868,166,21,54,91,2502.448929336188,19.515207024767875,4141.225,8.89,262,3
Southern Region,Nsanje,2013,189,11,41,137,2380.7628067560854,16.949668645492697,2185.714285714286,9.39,252,4
Southern Region,Chikwawa,1337,152,9,47,96,2318.3246671652955,24.512928900688593,3429.4117647058824,11.37,217,5
Central Region,Dowa,1757,147,9,34,104,2787.816659077974,14.351249704487815,1399.8649986499865,8.37,199,6
Central Region,Ntcheu,1215,122,9,45,68,2426.802534979424,22.285343259529277,1677.7777777777778,10.04,185,7
Central Region,Ntchisi,1381,117,11,36,70,2655.430412744388,18.922179688387416,1500.0,8.47,175,8
Southern Region,Phalombe,1351,114,8,37,69,2542.4438045891934,18.417783654364797,1328.5714285714287,8.44,167,9
Southern Region,Thyolo,1052,106,5,40,61,2445.3000570342206,22.567234197366023,2062.162162162162,10.08,156,10
Southern Region,Balaka,1022,87,9,21,57,2650.3969667318984,13.841971670592637,700.0,8.51,126,11
Southern Region,Blantyre,896,85,7,26,52,2634.0151004464283,19.01701680392346,1354.5454545454545,9.49,125,12
Southern Region,Mangochi,1035,81,4,30,47,2765.157420289855,18.10593684502144,1900.0,7.83,119,13
Northern Region,Mzimba,938,70,9,22,39,2328.26868869936,19.40405954308678,3150.0,7.46,110,14
Central Region,Mchinji,815,69,6,27,36,2780.263190184049,20.93116247086709,1233.3333333333335,8.47,108,15
Northern Region,Karonga,602,65,9,21,35,2294.1306478405313,19.18783136709569,720.5439902750343,10.8,104,16
Northern Region,Rumphi,529,59,6,21,32,2724.739300567108,28.290132723670688,2300.0,11.15,92,17
Central Region,Kasungu,589,58,5,21,32,2587.556791171477,25.1942136968993,2400.0,9.85,89,18
Northern Region,Chitipa,639,53,7,20,26,2673.384945226917,23.295660493763464,2726.086956521739,8.29,87,19
Central Region,Salima,664,57,6,18,33,2402.371084337349,22.661746111103785,2025.0,8.58,87,20
Central Region,Dedza,675,57,3,15,39,2311.8295555555555,14.198441276829612,1085.1851851851852,8.44,78,21
Central Region,Lilongwe,435,39,6,14,19,2573.3732413793105,32.72561687774133,1900.0,8.97,65,22
Northern Region,Nkhata Bay,590,43,4,8,31,3449.307661016949,14.949964505411396,617.2572084349447,7.29,59,23
Southern Region,Blantyre City,351,40,1,14,25,2425.0104273504276,24.953652006860857,1775.0,11.4,56,24
Southern Region,Neno,298,29,4,16,9,2491.759966442953,25.143782536306674,1566.6666666666667,9.73,53,25
Southern Region,Mwanza,305,29,4,11,14,2606.2780327868854,21.58585377030035,1766.6666666666667,9.51,48,26
Central Region,Nkhotakota,412,28,3,9,16,2751.236796116505,25.61126508483701,1746.153846153846,6.8,43,27
Central Region,Lilongwe City,232,14,0,5,9,2712.6872844827585,12.456528698207725,650.0,6.03,19,28
Northern Region,Mzuzu City,202,15,0,1,14,3300.6651485148514,15.56938606144159,780.5107913669066,7.43,16,29
Southern Region,Chiradzulu,255,11,1,1,9,3252.1217647058825,19.058837440557312,1775.0,4.31,14,30
