district,region,total_records,total_spikes,critical_count,severe_count,moderate_count,avg_price,spike_rate_pct,risk_score
Balaka,Southern Region,1022,87,9,21,57,2650.3969667318984,8.51,126
Blantyre,Southern Region,1247,125,8,40,77,2529.512763898428,10.445,181
Chikwawa,Southern Region,1337,152,9,47,96,2318.3246671652955,11.37,217
Chiradzulu,Southern Region,255,11,1,1,9,3252.1217647058825,4.31,14
Chitipa,Northern Region,639,53,7,20,26,2673.384945226917,8.29,87
Dedza,Central Region,675,57,3,15,39,2311.8295555555555,8.44,78
Dowa,Central Region,1757,147,9,34,104,2787.816659077974,8.37,199
Karonga,Northern Region,602,65,9,21,35,2294.1306478405318,10.8,104
Kasungu,Central Region,589,58,5,21,32,2587.556791171477,9.85,89
Lilongwe,Central Region,667,53,6,19,28,2643.0302629310345,7.5,84
Machinga,Southern Region,3118,307,25,79,203,2447.4596279666453,9.85,436
Mangochi,Southern Region,1035,81,4,30,47,2765.157420289855,7.83,119
Mchinji,Central Region,815,69,6,27,36,2780.263190184049,8.47,108
Mulanje,Southern Region,1707,186,13,65,108,2326.261734036321,10.9,277
Mwanza,Southern Region,305,29,4,11,14,2606.278032786885,9.51,48
Mzimba,Northern Region,1140,85,9,23,53,2814.466918607106,7.445,126
Neno,Southern Region,298,29,4,16,9,2491.759966442953,9.73,53
Nkhata Bay,Northern Region,590,43,4,8,31,3449.307661016949,7.29,59
Nkhotakota,Central Region,412,28,3,9,16,2751.236796116505,6.8,43
Nsanje,Southern Region,2013,189,11,41,137,2380.7628067560854,9.39,252
Ntcheu,Central Region,1215,122,9,45,68,2426.802534979424,10.04,185
Ntchisi,Central Region,1381,117,11,36,70,2655.430412744388,8.47,175
Phalombe,Southern Region,1351,114,8,37,69,2542.4438045891934,8.44,167
Rumphi,Northern Region,529,59,6,21,32,2724.739300567108,11.15,92
Salima,Central Region,664,57,6,18,33,2402.371084337349,8.58,87
Thyolo,Southern Region,1052,106,5,40,61,2445.300057034221,10.08,156
Zomba,Southern Region,1868,166,21,54,91,2502.448929336188,8.89,262
Likoma,Northern Region,0,0,0,0,0,0.0,0.0,0
