market,district,distance_km,total_spikes,spike_rate_pct
Chikuli,Blantyre,7.0,9,6.25
Lunzu,Blantyre,8.3,45,11.69
Lirangwe,Blantyre,17.4,31,8.45
Limbe,Blantyre City,20.0,0,0.0
Chiradzulu Boma,Chiradzulu,25.5,11,4.31
Bvumbwe,Blantyre City,32.2,40,11.53
Thondwe,Zomba,37.4,33,10.51
Neno Boma,Neno,43.6,29,9.73
Dyelatu,Chikwawa,43.8,32,9.64
Mwanza Boma,Mwanza,46.3,29,9.51
Mayaka,Zomba,46.6,33,9.97
Thyolo Boma,Thyolo,49.4,31,9.28
Phalula,Balaka,50.2,16,6.93
Nkhate,Chikwawa,53.1,44,13.92
Luchenza,Thyolo,54.2,12,12.77
Chinamwali,Zomba,54.9,18,7.32
Luncheza,Thyolo,55.0,25,8.93
Jali,Zomba,59.3,29,8.26
Tomali,Chikwawa,59.5,38,11.52
Chinakanaka,Mulanje,60.2,36,10.14
Songani,Zomba,61.5,19,7.17
Mulomba,Zomba,62.4,34,9.42
Nchalo,Chikwawa,66.9,38,10.58
Chitakale,Mulanje,69.4,40,11.43
Mulanje Boma,Mulanje,71.6,41,12.42
Liwonde,Machinga,73.1,25,8.56
Mangochi Turn Off,Machinga,74.5,12,5.97
Balaka Boma,Balaka,75.3,20,7.02
Chimbiya,Ntcheu,76.2,41,11.26
Thekerani,Thyolo,76.9,38,11.05
Phalombe Boma,Phalombe,77.1,39,10.77
Mpita,Machinga,77.4,37,11.21
Migowi,Phalombe,79.0,34,9.24
Kambilonje,Ntcheu,79.8,19,9.27
Mbela,Balaka,85.0,19,8.3
Phaloni,Phalombe,87.6,10,3.94
Ngabu,Nsanje,88.9,36,10.47
Chilinga,Phalombe,89.3,31,8.45
Limbuli,Mulanje,93.1,33,9.88
Ulongwe,Balaka,93.9,32,11.55
Nsanama,Machinga,94.5,40,10.99
Muloza,Mulanje,95.5,36,10.65
Sorgin,Nsanje,96.5,28,9.36
Makhanga,Nsanje,96.8,12,7.1
