district,risk_score,markets,coverage_ratio
Likoma,0,0.0,0.0
Mulanje,277,5.0,0.018
Machinga,436,8.0,0.0183
Neno,53,1.0,0.0185
Zomba,262,5.0,0.019
Karonga,104,2.0,0.019
Mwanza,48,1.0,0.0204
Rumphi,92,2.0,0.0215
Blantyre,181,4.0,0.022
Chikwawa,217,5.0,0.0229
Nsanje,252,6.0,0.0237
Ntcheu,185,5.0,0.0269
Mchinji,108,3.0,0.0275
Ntchisi,175,5.0,0.0284
Phalombe,167,5.0,0.0298
Thyolo,156,5.0,0.0318
Kasungu,89,3.0,0.0333
Chitipa,87,3.0,0.0341
Salima,87,3.0,0.0341
Dowa,199,7.0,0.035
Balaka,126,5.0,0.0394
Nkhata Bay,59,3.0,0.05
Dedza,78,4.0,0.0506
Mzimba,126,7.0,0.0551
Mangochi,119,7.0,0.0583
Lilongwe,84,5.0,0.0588
Chiradzulu,14,1.0,0.0667
Nkhotakota,43,3.0,0.0682
